,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind,Country,Date
0,mezen,65.8522,44.24,-20.92,87,0,2.35,RU,1612925415
1,ushuaia,-54.8,-68.3,62.6,72,0,4.61,AR,1612925416
2,vaini,-21.2,-175.2,78.8,89,75,24.16,TO,1612925416
3,mataura,-46.1927,168.8643,49.77,93,100,10.18,NZ,1612925416
4,atuona,-9.8,-139.0333,79.39,77,33,18.19,PF,1612925417
5,kapaa,22.0752,-159.319,71.6,49,75,14.97,US,1612925417
6,flinders,-34.5833,150.8552,73.0,69,53,1.99,AU,1612925417
7,cape town,-33.9258,18.4232,68.0,82,0,12.66,ZA,1612925347
8,maues,-3.3836,-57.7186,74.28,99,100,0.89,BR,1612925418
9,hobart,-42.8794,147.3294,72.0,42,20,10.36,AU,1612925419
10,lahaina,20.8783,-156.6825,75.2,46,40,17.27,US,1612925419
11,varkaus,62.3153,27.873,5.0,85,90,2.3,FI,1612925419
12,kodiak,57.79,-152.4072,33.8,86,90,3.44,US,1612925420
13,khor,47.8861,134.9464,3.49,93,98,6.85,RU,1612925420
14,deputatskiy,69.3,139.9,-20.76,88,36,2.57,RU,1612925420
15,hilo,19.7297,-155.09,71.6,68,75,14.97,US,1612925421
16,dauphin,51.1494,-100.0502,-14.8,64,1,13.8,CA,1612925417
17,klaksvik,62.2266,-6.589,30.2,69,99,5.75,FO,1612925421
18,acapulco,16.8634,-99.8901,78.8,78,1,4.61,MX,1612924977
19,san quintin,30.4833,-115.95,55.74,77,100,7.54,MX,1612925422
20,orda,57.1951,56.9091,-20.92,86,5,6.6,RU,1612925422
21,bouca,6.5105,18.2733,61.39,29,63,1.83,CF,1612925422
22,abhar,36.1468,49.218,40.57,61,54,6.49,IR,1612925423
23,barrow,71.2906,-156.7887,-22.0,69,1,17.27,US,1612925423
24,pevek,69.7008,170.3133,-6.5,74,0,3.06,RU,1612925423
25,husavik,66.0449,-17.3389,21.2,93,90,3.44,IS,1612925424
26,ures,29.4333,-110.4,64.0,43,98,3.6,MX,1612925167
27,port alfred,-33.5906,26.891,68.0,94,0,4.29,ZA,1612925424
